OBJECTID,ZONE_CMPLT,ZONE_CLASS,ZONE_SMRY,SHAPE_Length,SHAPE_Area
51864,A1-1,A1,AGRICULTURE,0.0162106283314589,6.81693899790334e-06
51865,(T)(Q)A1-1,A1,AGRICULTURE,0.00824684360251706,1.33603611933584e-06
51866,A1-1,A1,AGRICULTURE,0.00944512433428034,2.63393802469954e-06
51867,OS-1,OS,OPEN SPACE,0.0107626204678141,3.19768897559534e-06
51868,(T)(Q)RE11-1-H,RE11,RESIDENTIAL,0.0244483869499817,1.48809717842167e-05
51869,A1-1,A1,AGRICULTURE,0.0025417545860151,3.9265228940189e-07
51870,(T)(Q)RE11-1-H,RE11,RESIDENTIAL,0.00879294103969906,2.43957243370985e-06
51871,A1-1,A1,AGRICULTURE,0.00585009188504571,1.68377708502724e-06
51872,(T)(Q)RE11-1-H,RE11,RESIDENTIAL,0.00399728318834328,6.96579216012712e-07
51873,A1-1,A1,AGRICULTURE,0.00477056822920131,1.12087255300034e-06
51874,RE11-1,RE11,RESIDENTIAL,0.00456800815678806,1.172747564572e-06
51875,(T)(Q)RE11-1-H,RE11,RESIDENTIAL,0.00859020818653767,1.17998534300192e-06
51876,RE11-1,RE11,RESIDENTIAL,0.0103921617425936,2.50795393605823e-06
51877,A1-1,A1,AGRICULTURE,0.00831687139939332,2.76671695169164e-06
51878,A1-1,A1,AGRICULTURE,0.0103127139576319,4.48414139601632e-06
51879,A1-1,A1,AGRICULTURE,0.0120442329407555,7.6175894332847e-06
51880,(T)(Q)RE9-1-H,RE9,RESIDENTIAL,0.0294009765058697,2.87992577043428e-05
51881,OS-1XL,OS,OPEN SPACE,0.033483080486337,6.82080698740364e-06
51882,(T)(Q)A1-1,A1,AGRICULTURE,0.0265247346367301,1.38474012420797e-05
51883,(T)(Q)RE9-1-H,RE9,RESIDENTIAL,0.0283452307632301,1.87468353918929e-05
51884,A1-1,A1,AGRICULTURE,0.0114389698811038,5.92173424604415e-06
51885,(T)(Q)A1-1,A1,AGRICULTURE,0.0282859031616677,1.04993427635214e-05
51886,A1-1,A1,AGRICULTURE,0.0245761828313737,1.26783225112728e-05
51887,A1-1,A1,AGRICULTURE,0.00647164789197747,1.36164898094333e-06
51888,A1-1,A1,AGRICULTURE,0.00328409391390812,3.58585126746208e-07
51889,A1-1XL-K,A1,AGRICULTURE,0.00513698494975434,1.44225564168002e-06
51890,A1-1-K,A1,AGRICULTURE,0.0283155686332722,3.80168783340644e-05
51891,A1-1-K,A1,AGRICULTURE,0.000971263052767361,3.92021928258997e-08
51892,A1-1,A1,AGRICULTURE,0.0262490093153982,1.05446143663092e-05
51893,A1-1,A1,AGRICULTURE,0.0104730358713609,3.29832882423989e-06
51894,A1-1,A1,AGRICULTURE,0.0266278940083238,3.52687570692858e-05
51895,A1-1,A1,AGRICULTURE,0.0102905342714098,2.93104788439006e-06
51896,M2-1-CUGU,M2,INDUSTRIAL,0.0328278566108563,3.79529475148056e-05
51897,M2-1-CUGU,M2,INDUSTRIAL,0.0100093219226699,5.45478450327547e-06
51898,OS-1XL,OS,OPEN SPACE,0.00905039551380719,2.69691131622789e-06
51899,RD6-1,RD6,RESIDENTIAL,0.0195199958618666,9.30450121987796e-06
51900,OS-1XL,OS,OPEN SPACE,0.00622828819982457,1.29448930141322e-06
51901,RE40-1,RE40,RESIDENTIAL,0.0103699841707735,1.5416079820734e-06
51902,RE40-1,RE40,RESIDENTIAL,0.0165532807336327,3.26418235406707e-06
51903,[Q]OS-1XL,OS,OPEN SPACE,0.00901197384414422,2.14025219191447e-06
51904,A1-1,A1,AGRICULTURE,0.00794782032550186,3.06376071098276e-06
51905,R1-1,R1,RESIDENTIAL,0.00365919454821516,7.86273427898916e-07
51906,R1-1,R1,RESIDENTIAL,0.00312472154653754,3.07494804448967e-07
51907,R1-1,R1,RESIDENTIAL,0.021480232258377,5.22947676428365e-06
51908,RE11-1-H-K,RE11,RESIDENTIAL,0.00987941049350306,2.43454788499042e-06
51909,R3-1,R3,RESIDENTIAL,0.00602375766961048,2.03809350792795e-06
51910,(Q)RD1.5-1,RD1.5,RESIDENTIAL,0.00343761582240501,5.66194309546902e-07
51911,(T)(Q)R3-1,R3,RESIDENTIAL,0.00173669894435281,1.81482255346552e-07
51912,R1-1-CUGU,R1,RESIDENTIAL,0.00251304194361363,2.66514844854799e-07
51913,R1-1-CUGU,R1,RESIDENTIAL,0.00220566047839535,1.43623580508718e-07
51914,(Q)R3-1,R3,RESIDENTIAL,0.00169712405970658,1.76504792959076e-07
51915,(T)(Q)R3-1-RIO,R3,RESIDENTIAL,0.00133303617722615,7.28182319754809e-08
51916,R1-1-RIO,R1,RESIDENTIAL,0.00176084690306267,1.81797325240227e-07
51917,(Q)C1.5-1-RIO,C1.5,COMMERCIAL,0.00143019919636746,9.09030931341767e-08
51918,R3-1,R3,RESIDENTIAL,0.00282112224614474,4.17628149552139e-07
51919,R1-1,R1,RESIDENTIAL,0.00373789229990809,4.58473036021197e-07
51920,R1-1,R1,RESIDENTIAL,0.00280526832744261,2.71856269810362e-07
51921,PF-1VL-K,PF,PUBLIC FACILITY,0.00662997455777486,2.63987782510528e-06
51922,[Q]OS-1XL,OS,OPEN SPACE,0.0445100246234035,7.70243355860683e-05
51923,[Q]OS-1XL,OS,OPEN SPACE,0.0201252967731435,2.45792241377428e-05
51924,R3-1,R3,RESIDENTIAL,0.00105078526890645,5.33009492097968e-08
51925,R4-1-O,R4,RESIDENTIAL,0.00101431949852776,5.03951624483056e-08
51926,R3-1-O,R3,RESIDENTIAL,0.00105072542536554,5.32934250651419e-08
51927,R4-1-O,R4,RESIDENTIAL,0.00134197618663262,1.08861167611883e-07
51928,R3-1-O,R3,RESIDENTIAL,0.00244430778134814,3.19501366716399e-07
51929,(Q)RD6-1,RD6,RESIDENTIAL,0.00472434457831481,9.1945504964412e-07
51930,(T)(Q)RS-1,RS,RESIDENTIAL,0.00235937827617602,2.79089202660619e-07
51931,RA-1,RA,AGRICULTURE,0.0044938126214598,9.14505564910328e-07
